Date Entered,Full Name,Lead Status,Transaction Side,Source,Expected or Actual Close Date, Actual Sale Price ,Referral Fee %,Commission %,Agent Split %, Gross Commission , Net Commisson 
01/01/2021,Stanley Martin,Hot,Seller,Other Referrals,02/15/2021," $6,77,782.00 ",50.00%,2.50%,80.00%," $8,472.00 "," $6,778.00 "
01/03/2021,Frederick Valdez,Lost,Buyer,Other Referrals,02/17/2021," $6,93,093.00 ",50.00%,2.00%,80.00%," $6,931.00 "," $5,545.00 "
01/11/2021,Francisco Ford,In Contract,Seller,Direct Mail,02/25/2021," $6,61,205.00 ",50.00%,3.00%,80.00%," $9,918.00 "," $7,934.00 "
01/12/2021,Jack Moore,Active,Seller,Sphere of Influence,02/26/2021," $6,81,751.00 ",25.00%,2.50%,80.00%," $12,783.00 "," $10,226.00 "
01/13/2021,Patrick Potter,Warm,Buyer,Client Referral,02/27/2021," $7,49,844.00 ",25.00%,3.50%,80.00%," $19,683.00 "," $15,747.00 "
01/16/2021,Karl Anderson,Active,Buyer,Sphere of Influence,03/02/2021," $7,69,604.00 ",70.00%,2.00%,80.00%," $4,618.00 "," $3,694.00 "
01/18/2021,Johnny Austin,Lost,Seller,Direct Mail,03/04/2021," $9,03,034.00 ",50.00%,2.50%,80.00%," $11,288.00 "," $9,030.00 "
01/18/2021,Stuart Miller,Lost,Buyer,Direct Mail,03/04/2021," $7,53,665.00 ",30.00%,2.50%,80.00%," $13,189.00 "," $10,551.00 "
01/23/2021,Colin Reeves,In Contract,Buyer,Open House,03/09/2021," $7,13,851.00 ",50.00%,2.00%,80.00%," $7,139.00 "," $5,711.00 "
01/24/2021,Mathew Gutierrez,Closed,Buyer,Open House,03/10/2021," $9,02,576.00 ",70.00%,3.50%,80.00%," $9,477.00 "," $7,582.00 "
01/27/2021,Justin Little,In Contract,Buyer,Sphere of Influence,03/13/2021," $9,39,374.00 ",30.00%,3.50%,80.00%," $23,015.00 "," $18,412.00 "
01/28/2021,Lyle Spencer,Closed,Buyer,Sphere of Influence,03/14/2021," $7,52,004.00 ",50.00%,3.00%,80.00%," $11,280.00 "," $9,024.00 "
01/31/2021,Dwight Fox,Closed,Seller,Sphere of Influence,03/17/2021," $6,74,693.00 ",50.00%,3.00%,80.00%," $10,120.00 "," $8,096.00 "
02/01/2021,Devin Floyd,Warm,Buyer,Direct Mail,03/18/2021," $7,10,162.00 ",25.00%,2.00%,80.00%," $10,652.00 "," $8,522.00 "
02/04/2021,Willie Klein,Hot,Buyer,Open House,03/21/2021," $8,51,561.00 ",50.00%,2.50%,80.00%," $10,645.00 "," $8,516.00 "
02/08/2021,Dustin Newton,Hot,Buyer,Purchased Lead,03/25/2021," $7,72,416.00 ",30.00%,2.50%,80.00%," $13,517.00 "," $10,814.00 "
02/09/2021,Morris Williams,Active,Seller,Direct Mail,03/26/2021," $7,40,912.00 ",25.00%,2.50%,80.00%," $13,892.00 "," $11,114.00 "
02/10/2021,Randall Pope,Closed,Seller,Other Referrals,03/27/2021," $8,87,063.00 ",70.00%,2.50%,80.00%," $6,653.00 "," $5,322.00 "
02/16/2021,Jan Osborne,Closed,Seller,Client Referral,04/02/2021," $6,77,009.00 ",25.00%,2.00%,80.00%," $10,155.00 "," $8,124.00 "
02/18/2021,Steven Swanson,Closed,Seller,Sphere of Influence,04/04/2021," $8,15,064.00 ",30.00%,3.50%,80.00%," $19,969.00 "," $15,975.00 "
02/27/2021,Tony Campbell,Warm,Seller,Facebook Ads,04/13/2021," $6,53,107.00 ",30.00%,2.50%,80.00%," $11,429.00 "," $9,143.00 "
03/01/2021,Horace Parker,Closed,Seller,Direct Mail,04/15/2021," $7,84,955.00 ",70.00%,3.00%,80.00%," $7,065.00 "," $5,652.00 "
03/10/2021,Leslie Fisher,In Contract,Buyer,Other Referrals,04/24/2021," $9,04,339.00 ",70.00%,3.50%,80.00%," $9,496.00 "," $7,596.00 "
03/11/2021,Corey Graves,Hot,Seller,Direct Mail,04/25/2021," $8,83,411.00 ",25.00%,2.50%,80.00%," $16,564.00 "," $13,251.00 "
03/12/2021,Stephen Wells,Lost,Buyer,Client Referral,04/26/2021," $6,93,459.00 ",25.00%,2.50%,80.00%," $13,002.00 "," $10,402.00 "
03/12/2021,Orlando Roberson,In Contract,Seller,Open House,04/26/2021," $6,64,049.00 ",50.00%,2.00%,80.00%," $6,640.00 "," $5,312.00 "
03/17/2021,Ricky Warren,Closed,Seller,Purchased Lead,05/01/2021," $8,85,959.00 ",70.00%,3.00%,80.00%," $7,974.00 "," $6,379.00 "
03/17/2021,Dean Harmon,In Contract,Seller,Other Referrals,05/01/2021," $7,97,045.00 ",50.00%,2.00%,80.00%," $7,970.00 "," $6,376.00 "
03/19/2021,Ralph Gibson,Lost,Buyer,Client Referral,05/03/2021," $6,90,221.00 ",30.00%,2.00%,80.00%," $9,663.00 "," $7,730.00 "
03/22/2021,Clinton Wagner,In Contract,Seller,Facebook Ads,05/06/2021," $6,63,670.00 ",70.00%,3.00%,80.00%," $5,973.00 "," $4,778.00 "
03/27/2021,Ignacio Franklin,Active,Seller,Sphere of Influence,05/11/2021," $8,79,574.00 ",50.00%,3.50%,80.00%," $15,393.00 "," $12,314.00 "
03/27/2021,Preston Hodges,In Contract,Buyer,Facebook Ads,05/11/2021," $8,90,238.00 ",30.00%,2.00%,80.00%," $12,463.00 "," $9,971.00 "
03/28/2021,Nick Carr,In Contract,Buyer,Direct Mail,05/12/2021," $9,00,500.00 ",25.00%,3.00%,80.00%," $20,261.00 "," $16,209.00 "
03/31/2021,Ross Johnston,Active,Buyer,Facebook Ads,05/15/2021," $7,80,326.00 ",30.00%,2.50%,80.00%," $13,656.00 "," $10,925.00 "
04/01/2021,Brian Cannon,Hot,Buyer,Open House,05/16/2021," $7,35,458.00 ",50.00%,3.50%,80.00%," $12,871.00 "," $10,296.00 "
04/04/2021,Lewis Palmer,Warm,Seller,Open House,05/19/2021," $6,81,896.00 ",30.00%,3.50%,80.00%," $16,706.00 "," $13,365.00 "
04/05/2021,Harry Hansen,Hot,Buyer,Facebook Ads,05/20/2021," $8,70,912.00 ",25.00%,3.00%,80.00%," $19,596.00 "," $15,676.00 "
04/06/2021,Jacob Montgomery,Lost,Seller,Sphere of Influence,05/21/2021," $8,04,119.00 ",25.00%,3.50%,80.00%," $21,108.00 "," $16,886.00 "
04/11/2021,Pat Rodgers,Lost,Buyer,Other Referrals,05/26/2021," $9,48,593.00 ",25.00%,3.50%,80.00%," $24,901.00 "," $19,920.00 "
04/13/2021,David Rodriguez,Lost,Seller,Facebook Ads,05/28/2021," $7,88,423.00 ",30.00%,3.00%,80.00%," $16,557.00 "," $13,246.00 "
04/17/2021,Guadalupe Jefferson,Hot,Buyer,Direct Mail,06/01/2021," $9,38,917.00 ",70.00%,2.50%,80.00%," $7,042.00 "," $5,634.00 "
04/30/2021,Vincent Rice,Warm,Buyer,Other Referrals,06/14/2021," $8,48,612.00 ",25.00%,3.00%,80.00%," $19,094.00 "," $15,275.00 "
04/30/2021,Angelo Evans,Warm,Seller,Purchased Lead,06/14/2021," $6,93,857.00 ",70.00%,2.00%,80.00%," $4,163.00 "," $3,331.00 "
05/02/2021,Adrian Sims,Hot,Buyer,Open House,06/16/2021," $8,08,702.00 ",30.00%,2.00%,80.00%," $11,322.00 "," $9,057.00 "
